Activity,Time (seconds)
Annual Lesson Plan,268.969699859619
Uda Planning,33.6212124824524
List of lessons,3.57162356376648
Lesson Planning Generation,17.1964638233185
Lesson Execution Generation,170.430841445923
Didactic Material,52.3590590953827
