Activity,Time (seconds)
Annual Lesson Plan,194.185616493225
Uda Planning,38.837123298645
List of lessons,6.92931795120239
Lesson Planning Generation,45.323992729187
Lesson Execution Generation,167.538371562958
Didactic Material,69.2897753715515
