Activity,Time (seconds)
Annual Lesson Plan,293.208398103714
Uda Planning,36.6510497629643
List of lessons,4.63305711746216
Lesson Planning Generation,21.9654762744904
Lesson Execution Generation,196.86887049675
Didactic Material,44.4520752429962
