Activity,Time (seconds)
Annual Lesson Plan,334.52339887619
Uda Planning,41.8154248595238
List of lessons,13.046539068222
Lesson Planning Generation,28.2159588336945
Lesson Execution Generation,186.749733448029
Didactic Material,53.4804146289825
