Activity,Time (seconds)
Annual Lesson Plan,195.057260274887
Uda Planning,39.0114520549774
List of lessons,6.99055552482605
Lesson Planning Generation,31.7028827667236
Lesson Execution Generation,156.702438831329
Didactic Material,45.0442259311676
