Activity,Time (seconds)
Annual Lesson Plan,68.9903008937836
Uda Planning,17.2475752234459
List of lessons,4.73307371139526
Lesson Planning Generation,12.3341925144196
Lesson Execution Generation,66.2308430671692
Didactic Material,30.4539358615875
