Activity,Time (seconds)
Annual Lesson Plan,134.684983491898
Uda Planning,26.9369966983796
List of lessons,6.51750349998474
Lesson Planning Generation,15.2673878669739
Lesson Execution Generation,152.937189817429
Didactic Material,41.2744500637054
