Activity,Time (seconds)
Annual Lesson Plan,103.331555366516
Uda Planning,25.832888841629
List of lessons,4.362056016922
Lesson Planning Generation,16.043844461441
Lesson Execution Generation,183.994769096375
Didactic Material,52.7073249816895
