,Mean,Median,Std. Dev.,IQR
ALP,0.0571725,0.056319999999999995,0.012149672997548882,0.011426250000000006
UD,0.010475375,0.0103625,0.0012293197934651761,0.001004999999999999
DM,0.017792,0.01774875,0.0009491213388126272,0.0008724999999999983
LP,0.059731749999999986,0.05952375,0.020796434523292183,0.0034587500000000035
TP,0.13532099999999997,0.14243,0.03480761883856071,0.015342500000000009
