ALP,UD,DM,LP,TP
0.12441249999999998,0.02851,0.044145000000000004,0.156615,0.34055250000000004
0.1285625,0.0252175,0.04252,0.1676625,0.349275
0.13108749999999997,0.0278475,0.050422499999999995,0.169095,0.3596425
0.1283,0.02486,0.0500325,0.153705,0.343075
0.13815,0.0268975,0.043025,0.1564675,0.34873750000000003
0.13405,0.026967500000000002,0.0430575,0.22863,0.34909999999999997
0.137415,0.0254975,0.054275000000000004,0.1708675,0.3736875
0.23894750000000003,0.0262125,0.051265000000000005,0.16888499999999998,0.4718375
0.19973249999999998,0.027784999999999997,0.048870000000000004,0.1676025,0.42613999999999996
0.16652,0.0248175,0.045315,0.16047,0.3816775
0.09993750000000001,0.02307,0.050129999999999994,0.147325,0.3070275
0.1349525,0.02518,0.043685,0.10711,0.21992499999999998
0.174725,0.0243725,0.04983,0.1561225,0.3912125
0.14172,0.027507499999999997,0.053724999999999995,0.17159,0.37987000000000004
0.21101000000000003,0.02656,0.04451,0.1687225,0.4328825
0.18044,0.02468,0.044215,0.16549,0.40093750000000006
0.14915,0.0275025,0.049315,0.1690475,0.3822
0.1403575,0.026725000000000002,0.0521775,0.153865,0.3574625
0.20139,0.025882500000000003,0.041025,0.15331,0.405095
0.16676000000000002,0.028015,0.05312,0.1703925,0.4007725
