,Mean,Median,Std. Dev.,IQR
Annual Lesson Plan,22869.0,22528.0,4859.869199019553,4570.5
Uda Planning,4190.15,4145.0,491.72791738607043,402.0
Didactic Material,7116.8,7099.5,379.6485355250509,349.0
Lesson Planning,23892.7,23809.5,8318.573809316873,1383.5
Total Planning,54128.4,56972.0,13923.047535424283,6137.0
