,Mean,Median,Std. Dev.,IQR
Annual Lesson Plan,9920.85,8693.5,2520.853724957396,2932.0
Uda Planning,1573.0,1564.0,129.0108114604517,186.25
Didactic Material,2994.1,3096.5,398.8810533690991,751.75
Lesson Planning,10341.7,10621.0,577.9691395877373,1022.0
Total Planning,23573.45,22777.5,2707.6097144510086,3067.75
