,Mean,Median,Std. Dev.,IQR
ALP,0.0992085,0.086935,0.025208537249573962,0.02932
UD,0.01573,0.01564,0.0012901081146045172,0.0018624999999999996
DM,0.029941000000000002,0.030965,0.0039888105336909905,0.007517499999999996
LP,0.10341699999999998,0.10621,0.005779691395877369,0.010219999999999979
TP,0.23573449999999996,0.227775,0.02707609714451009,0.030677499999999996
