,Media,Mediana,STD,IQR
Annual Lesson Plan,180.25995086431504,194.621438384056,71.72516890956464,94.70520997047424
Uda Planning,30.707238748598666,31.0863939864295,10.273887640854582,16.182857823371897
Lesson Planning,226.44917252063766,240.35825788974768,48.46194269047295,46.091233849524684
Didactic Material,49.78868938684462,44.7481505870819,18.338194481030786,11.834212899208126
Total Planning,412.60848067998893,426.40286612510675,105.55248248288164,128.2413063049313
