,Mean,Median,Std. Dev.,IQR
ALP,0.15638100000000002,0.14103875,0.0351062461304028,0.09290625
UD,0.026205375000000003,0.02638625,0.0014599426076949593,0.01279125
DM,0.047733000000000005,0.0490925,0.004233194917615572,0.024433125
LP,0.16314875,0.16654625,0.021098384034839705,0.07113437499999997
TP,0.37105550000000004,0.37677875000000005,0.051859869445915203,0.18169874999999996
